obsnme,obsval,weight,obgnme,extra,standard_deviation
wq1_t_106,8.5,1.923076923076923,temp_1,,0.52
wq1_t_107,20.3,1.923076923076923,temp_1,,0.52
wq1_t_108,22.1,1.923076923076923,temp_1,,0.52
wq1_t_109,24.9,1.923076923076923,temp_1,,0.52
wq1_t_110,23.6643,1.923076923076923,temp_1,,0.52
wq1_t_111,23.1468,1.923076923076923,temp_1,,0.52
wq1_t_112,21.2652,1.923076923076923,temp_1,,0.52
wq1_t_113,21.4024,1.923076923076923,temp_1,,0.52
wq1_t_114,23.3641,1.923076923076923,temp_1,,0.52
wq1_t_115,23.5203,1.923076923076923,temp_1,,0.52
wq1_t_116,23.4688,1.923076923076923,temp_1,,0.52
wq1_t_117,25.2753,1.923076923076923,temp_1,,0.52
wq1_t_118,26.4406,1.923076923076923,temp_1,,0.52
wq1_t_119,26.0384,1.923076923076923,temp_1,,0.52
wq1_t_120,29.1191,1.923076923076923,temp_1,,0.52
wq1_t_121,27.5106,1.923076923076923,temp_1,,0.52
wq1_t_122,27.591,1.923076923076923,temp_1,,0.52
wq1_t_123,27.3281,1.923076923076923,temp_1,,0.52
wq1_t_124,26.1616,1.923076923076923,temp_1,,0.52
wq1_t_125,25.3866,1.923076923076923,temp_1,,0.52
wq1_t_126,26.2779,1.923076923076923,temp_1,,0.52
wq1_t_127,25.5691,1.923076923076923,temp_1,,0.52
wq1_t_128,25.2582,1.923076923076923,temp_1,,0.52
wq1_t_129,25.9988,1.923076923076923,temp_1,,0.52
wq1_t_130,25.9571,1.923076923076923,temp_1,,0.52
wq1_t_131,27.4223,1.923076923076923,temp_1,,0.52
wq1_t_132,27.2475,1.923076923076923,temp_1,,0.52
wq1_t_133,24.5102,1.923076923076923,temp_1,,0.52
wq1_t_134,22.0398,1.923076923076923,temp_1,,0.52
wq1_t_135,23.4512,1.923076923076923,temp_1,,0.52
wq1_t_136,23.573,1.923076923076923,temp_1,,0.52
wq1_t_137,14.9345,1.923076923076923,temp_1,,0.52
wq1_t_138,14.4934,1.923076923076923,temp_1,,0.52
wq1_t_139,14.1173,1.923076923076923,temp_1,,0.52
wq1_t_140,15.4904,1.923076923076923,temp_1,,0.52
wq1_t_141,15.2674,1.923076923076923,temp_1,,0.52
wq1_t_142,12.6428,1.923076923076923,temp_1,,0.52
wq1_t_143,7.8913,1.923076923076923,temp_1,,0.52
wq1_t_144,5.5854,1.923076923076923,temp_1,,0.52
wq2_t_1,8.6171,1.923076923076923,temp_2,,0.52
wq2_t_2,4.1,1.923076923076923,temp_2,,0.52
wq2_t_3,8.8,1.923076923076923,temp_2,,0.52
wq2_t_4,8.1,1.923076923076923,temp_2,,0.52
wq2_t_5,11.7219,1.923076923076923,temp_2,,0.52
wq2_t_6,11.3,1.923076923076923,temp_2,,0.52
wq2_t_7,13.19,1.923076923076923,temp_2,,0.52
wq2_t_8,12.7,1.923076923076923,temp_2,,0.52
wq2_t_9,13.854,1.923076923076923,temp_2,,0.52
wq2_t_10,17.3,1.923076923076923,temp_2,,0.52
wq2_t_11,14.2371,1.923076923076923,temp_2,,0.52
wq2_t_12,14.4583,1.923076923076923,temp_2,,0.52
wq2_t_13,17.5,1.923076923076923,temp_2,,0.52
wq2_t_14,15.0129,1.923076923076923,temp_2,,0.52
wq2_t_15,14.698,1.923076923076923,temp_2,,0.52
wq2_t_16,14.8,1.923076923076923,temp_2,,0.52
wq2_t_17,13.5531,1.923076923076923,temp_2,,0.52
wq2_t_18,14.8232,1.923076923076923,temp_2,,0.52
wq2_t_19,17.6,1.923076923076923,temp_2,,0.52
wq2_t_20,18.3,1.923076923076923,temp_2,,0.52
wq2_t_21,20.3,1.923076923076923,temp_2,,0.52
wq2_t_22,17.4,1.923076923076923,temp_2,,0.52
wq2_t_23,17.6,1.923076923076923,temp_2,,0.52
wq2_t_24,17.6,1.923076923076923,temp_2,,0.52
wq2_t_25,18.1,1.923076923076923,temp_2,,0.52
wq2_t_26,22.0,1.923076923076923,temp_2,,0.52
wq2_t_27,20.0,1.923076923076923,temp_2,,0.52
wq2_t_28,21.7,1.923076923076923,temp_2,,0.52
wq2_t_29,24.0,1.923076923076923,temp_2,,0.52
wq2_t_30,23.8,1.923076923076923,temp_2,,0.52
wq2_t_31,25.1,1.923076923076923,temp_2,,0.52
wq2_t_32,25.6,1.923076923076923,temp_2,,0.52
wq2_t_33,24.6,1.923076923076923,temp_2,,0.52
wq2_t_34,26.0,1.923076923076923,temp_2,,0.52
