time,FLOW,TEMP,SALT,elevation,TRC_tr1,TRC_age,NCS_ss1,NCS_ss2,OXY_oxy,CAR_dic,CAR_pH,CAR_ch4,CAR_ch4_bub,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHS_frp_ads,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_docr,OGM_donr,OGM_dopr,OGM_cpom,PHY_cyano,PHY_cyano_IN,PHY_cyano_IP,PHY_green,PHY_green_IN,PHY_green_IP,PHY_diatom,PHY_diatom_IN,PHY_diatom_IP,BIV_filtfrac
2015-09-02,0.014133333,15.10286386,0,0.2,0,0,0,0,511.8252096,89.1228,6.17,0.0263,0,102.6964,47.1175,0.3733,0.0557,0.0111,20.2212,29.3208,1.9825,3.965,0.0139,0.3236,272.9868,17.8424,0.1248,29.3208,0,0,0,0,0,0,0,0,0,0
2015-09-03,0.014133333,15.12896886,0,0.2,0,0,0,0,511.8252096,89.1496,6.17,0.0283,0,102.6964,46.1197,0.3986,0.0572,0.0114,20.3402,29.4933,1.9184,3.8367,0.0147,0.3423,274.5926,17.2653,0.132,29.4933,0,0,0,0,0,0,0,0,0,0
2015-09-04,0.014133333,15.15507387,0,0.2,0,0,0,0,511.8252096,89.1764,6.17,0.0303,0,102.6964,45.122,0.424,0.0587,0.0117,20.4591,29.6658,1.8543,3.7085,0.0155,0.3609,276.1984,16.6883,0.1392,29.6658,0,0,0,0,0,0,0,0,0,0
2015-09-05,0.014133333,15.18117888,0,0.2,0,0,0,0,511.8252096,89.2032,6.17,0.0323,0,102.6964,44.1242,0.4493,0.0602,0.012,20.5781,29.8382,1.7901,3.5803,0.0163,0.3796,277.8042,16.1112,0.1464,29.8382,0,0,0,0,0,0,0,0,0,0
2015-09-06,0.014133333,15.20728388,0,0.2,0,0,0,0,511.8252096,89.23,6.17,0.0343,0,102.6964,43.1264,0.4747,0.0617,0.0123,20.697,30.0107,1.726,3.452,0.0171,0.3982,279.41,15.5342,0.1536,30.0107,0,0,0,0,0,0,0,0,0,0
2015-09-07,0.014133333,15.23338889,0,0.2,0,0,0,0,511.8252096,89.2569,6.17,0.0362,0,102.6964,42.1286,0.5,0.0632,0.0126,20.816,30.1832,1.6619,3.3238,0.0179,0.4169,281.0158,14.9571,0.1608,30.1832,0,0,0,0,0,0,0,0,0,0
2015-09-08,0.014133333,15.25333175,0,0.3,0,0,0,0,511.8252096,89.2837,6.17,0.0382,0,102.6964,43.5382,0.477,0.0647,0.0129,20.5781,29.8382,1.692,3.384,0.016,0.3745,277.8042,15.2282,0.1444,29.8382,0,0,0,0,0,0,0,0,0,0
2015-09-09,0.014133333,15.2732746,0,0.3,0,0,0,0,511.8252096,89.3105,6.17,0.0402,0,102.6964,44.9477,0.4539,0.0662,0.0132,20.3402,29.4933,1.7221,3.4443,0.0142,0.3321,274.5926,15.4993,0.1281,29.4933,0,0,0,0,0,0,0,0,0,0
2015-09-10,0.014133333,15.29321746,0,0.3,0,0,0,0,511.8252096,89.3373,6.17,0.0422,0,102.6964,46.3573,0.4309,0.0677,0.0135,20.1023,29.1483,1.7523,3.5045,0.0124,0.2897,271.381,15.7703,0.1117,29.1483,0,0,0,0,0,0,0,0,0,0
2015-09-11,0.014133333,15.31316032,0,0.3,0,0,0,0,511.8252096,89.3641,6.17,0.0442,0,102.6964,47.7669,0.4078,0.0692,0.0138,19.8644,28.8034,1.7824,3.5648,0.0106,0.2473,268.1694,16.0414,0.0954,28.8034,0,0,0,0,0,0,0,0,0,0
2015-09-12,0.014133333,15.33310317,0,0.3,0,0,0,0,511.8252096,89.391,6.17,0.0462,0,102.6964,49.1764,0.3848,0.0707,0.0141,19.6265,28.4584,1.8125,3.625,0.0088,0.205,264.9578,16.3125,0.0791,28.4584,0,0,0,0,0,0,0,0,0,0
2015-09-13,0.014133333,15.35304603,0,0.4,0,0,0,0,511.8252096,89.4178,6.17,0.0482,0,102.6964,50.586,0.3618,0.0722,0.0144,19.3886,28.1135,1.8426,3.6852,0.007,0.1626,261.7462,16.5836,0.0627,28.1135,0,0,0,0,0,0,0,0,0,0
2015-09-14,0.014133333,15.37298889,0,0.4,0,0,0,0,511.8252096,89.4446,6.17,0.0502,0,102.6964,51.9956,0.3387,0.0737,0.0147,19.1507,27.7685,1.8727,3.7455,0.0052,0.1202,258.5346,16.8547,0.0464,27.7685,0,0,0,0,0,0,0,0,0,0
2015-09-15,0.014133333,15.39528834,0,0.4,0,0,0,0,511.8252096,89.4714,6.17,0.0481,0,102.6964,50.8236,0.3318,0.0707,0.0141,31.5214,45.706,1.9308,3.8615,0.0076,0.1782,425.5382,17.3768,0.0687,45.706,0,0,0,0,0,0,0,0,0,0
2015-09-16,0.014133333,15.4175878,0,0.4,0,0,0,0,511.8252096,89.4982,6.17,0.0461,0,102.6964,49.6516,0.3249,0.0677,0.0135,43.892,63.6434,1.9888,3.9776,0.0101,0.2361,592.5419,17.899,0.0911,63.6434,0,0,0,0,0,0,0,0,0,0
2015-09-17,0.014133333,15.43988725,0,0.4,0,0,0,0,511.8252096,89.5251,6.17,0.044,0,102.6964,48.4796,0.318,0.0647,0.0129,56.2626,81.5808,2.0468,4.0936,0.0126,0.2941,759.5456,18.4212,0.1134,81.5808,0,0,0,0,0,0,0,0,0,0
2015-09-18,0.014133333,15.46218671,0,0.5,0,0,0,0,511.8252096,89.5519,6.17,0.0419,0,102.6964,47.3076,0.3111,0.0617,0.0123,68.6333,99.5183,2.1048,4.2097,0.0151,0.3521,926.5493,18.9434,0.1358,99.5183,0,0,0,0,0,0,0,0,0,0
2015-09-19,0.014133333,15.48448616,0,0.5,0,0,0,0,511.8252096,89.5787,6.17,0.0399,0,102.6964,46.1356,0.3041,0.0587,0.0117,81.0039,117.4557,2.1628,4.3257,0.0176,0.41,1093.553,19.4656,0.1581,117.4557,0,0,0,0,0,0,0,0,0,0
2015-09-20,0.014133333,15.50678562,0,0.5,0,0,0,0,511.8252096,89.6055,6.17,0.0378,0,102.6964,44.9636,0.2972,0.0557,0.0111,93.3746,135.3931,2.2209,4.4417,0.0201,0.468,1260.5567,19.9878,0.1805,135.3931,0,0,0,0,0,0,0,0,0,0
2015-09-21,0.014133333,15.52908507,0,0.5,0,0,0,0,511.8252096,89.6323,6.17,0.0358,0,102.6964,43.7916,0.2903,0.0526,0.0105,105.7452,153.3306,2.2789,4.5578,0.0225,0.5259,1427.5604,20.51,0.2029,153.3306,0,0,0,0,0,0,0,0,0,0
2015-09-22,0.014133333,15.55266629,0,0.5,0,0,0,0,511.8252096,89.6592,6.17,0.0337,0,102.6964,46.9591,0.318,0.0542,0.0108,104.9423,152.1663,2.1147,4.2293,0.0207,0.4829,1416.7212,19.032,0.1863,152.1663,0,0,0,0,0,0,0,0,0,0
2015-09-23,0.014133333,15.5762475,0,0.1,0,0,0,0,511.8252096,89.686,6.17,0.0316,0,102.6964,50.1267,0.3456,0.0557,0.0111,104.1394,151.0021,1.9504,3.9009,0.0189,0.4399,1405.882,17.5539,0.1697,151.0021,0,0,0,0,0,0,0,0,0,0
2015-09-24,0.014133333,15.59982872,0,0.1,0,0,0,0,511.8252096,89.7128,6.17,0.0296,0,102.6964,53.2943,0.3733,0.0572,0.0114,103.3365,149.8379,1.7862,3.5724,0.017,0.3969,1395.0428,16.0759,0.1531,149.8379,0,0,0,0,0,0,0,0,0,0
2015-09-25,0.014133333,15.62340993,0,0.1,0,0,0,0,511.8252096,89.7396,6.17,0.0275,0,102.6964,56.4618,0.4009,0.0587,0.0117,102.5336,148.6737,1.622,3.244,0.0152,0.3538,1384.2036,14.5978,0.1365,148.6737,0,0,0,0,0,0,0,0,0,0
2015-09-26,0.014133333,15.64699114,0,0.1,0,0,0,0,511.8252096,89.7664,6.17,0.0254,0,102.6964,59.6294,0.4286,0.0602,0.012,101.7307,147.5095,1.4578,2.9155,0.0133,0.3108,1373.3645,13.1198,0.1199,147.5095,0,0,0,0,0,0,0,0,0,0
2015-09-27,0.014133333,15.67057236,0,0.1,0,0,0,0,511.8252096,89.7933,6.17,0.0234,0,102.6964,62.797,0.4562,0.0617,0.0123,100.9278,146.3453,1.2935,2.5871,0.0115,0.2678,1362.5253,11.6417,0.1033,146.3453,0,0,0,0,0,0,0,0,0,0
2015-09-28,0.014133333,15.69415357,0,0.2,0,0,0,0,511.8252096,89.8201,6.17,0.0213,0,102.6964,65.9645,0.4839,0.0632,0.0126,100.1249,145.1811,1.1293,2.2586,0.0096,0.2247,1351.6861,10.1637,0.0867,145.1811,0,0,0,0,0,0,0,0,0,0
2015-09-29,0.014133333,15.91458973,0,0.2,0,0,0,0,511.8252096,89.8469,6.17,0.0227,0,102.6964,56.8023,0.4332,0.0647,0.0129,99.322,144.0169,1.1411,2.2822,0.01,0.234,1340.8469,10.2698,0.0903,144.0169,0,0,0,0,0,0,0,0,0,0
2015-09-30,0.014133333,16.13502588,0,0.2,0,0,0,0,511.8252096,89.8737,6.17,0.0241,0,102.6964,47.6402,0.3825,0.0662,0.0132,98.5191,142.8527,1.1529,2.3057,0.0104,0.2433,1330.0077,10.3759,0.0938,142.8527,0,0,0,0,0,0,0,0,0,0
